time	commentID	userID	pullRequestID	commitID
2011-02-05 11:07:13	217	77563	21482	148045
2011-02-11 16:08:39	1106	30107	46526	266987
2011-02-11 21:11:58	1157	76484	21074	159083
2011-02-12 00:26:27	1173	9870	21074	159083
2011-02-12 04:15:45	1203	76484	21074	159083
2011-02-12 05:28:52	1239	21320	59210	298854
2011-02-13 04:03:26	1353	79834	59210	298854
2011-02-15 03:57:21	1572	80358	21066	159064
2011-02-15 03:59:55	1573	43798	21066	159064
2011-02-15 04:01:56	1574	80358	21066	159064
2011-02-15 19:18:14	1708	12779	10841	90166
2011-02-15 21:24:12	1735	12775	10841	90166
2011-02-15 21:47:20	1737	12775	10841	90166
2011-02-16 01:39:44	1759	12779	10841	90166
2011-02-16 01:43:14	1760	12779	10841	90166
2011-02-16 02:21:42	1776	12775	10841	90166
2011-02-16 03:26:58	1843	76382	21233	159591
2011-02-16 03:34:06	1844	76395	21233	159591
2011-02-16 03:47:04	1846	80358	21233	159591
2011-02-16 10:28:29	1970	77563	21233	159580
2011-02-16 19:11:23	2061	80358	21233	159580
2011-02-19 10:12:33	2803	47063	67149	353883
2011-02-19 10:16:41	2804	47063	67149	353883
2011-02-19 10:21:46	2806	47063	67149	353883
2011-02-23 04:20:41	3326	5762	20566	158031
2011-02-24 05:35:13	3643	44862	70434	364563
2011-02-24 05:36:24	3644	44862	70434	364563
2011-02-24 05:39:14	3645	44862	70434	364563
2011-02-24 08:02:30	3674	97313	38362	230753
2011-02-24 10:18:30	3722	47063	70431	364557
2011-02-24 10:21:39	3723	44862	70431	364557
2011-02-25 02:45:42	3932	112604	38344	230720
2011-02-25 02:47:22	3934	97313	38344	230720
2011-02-25 03:52:06	3946	11800	38355	230486
2011-02-26 00:04:40	4245	31690	22902	166086
2011-02-26 00:43:21	4256	28868	22902	166086
2011-02-26 02:21:47	4279	31690	22902	166086
2011-02-26 08:43:12	4535	153624	43698	256995
2011-02-26 08:43:48	4536	153624	43698	256995
2011-02-26 09:53:38	4549	159711	43698	256995
2011-02-26 09:53:54	4550	159711	43698	256995
2011-02-27 02:48:03	4662	97313	38305	230618
2011-02-28 04:42:41	4775	97313	38291	230553
2011-02-28 04:45:27	4776	96175	38291	230553
2011-02-28 05:04:28	4785	77187	21026	158964
2011-02-28 05:54:14	4798	77187	21021	158927
2011-02-28 17:50:46	4863	141912	46469	266851
2011-02-28 17:52:45	4864	141912	46469	266851
2011-02-28 17:53:31	4865	141912	46469	266851
2011-02-28 17:54:29	4866	141912	46469	266851
2011-02-28 17:57:00	4867	141912	46469	266851
2011-02-28 17:57:51	4868	141912	46469	266851
2011-02-28 17:58:47	4870	141912	46469	266851
2011-02-28 18:03:17	4872	141912	46469	266851
2011-02-28 18:07:08	4874	141912	46469	266851
2011-02-28 18:09:14	4876	141912	46469	266851
2011-02-28 19:21:18	4881	141772	46487	266907
2011-02-28 19:50:54	4883	143568	46487	266907
2011-02-28 19:53:13	4884	141772	46487	266907
2011-02-28 20:43:47	4896	97313	38279	230525
2011-02-28 20:46:18	4897	96175	38279	230525
2011-02-28 20:52:32	4900	96175	38279	230525
2011-02-28 20:55:28	4904	96175	38279	230525
2011-02-28 21:58:47	4918	97313	38274	229614
2011-02-28 22:03:58	4921	96175	38274	229614
2011-02-28 22:10:50	4922	112780	38274	229614
2011-03-01 01:28:11	4983	12771	10779	89924
2011-03-01 03:42:45	5044	97313	38255	230492
2011-03-01 03:44:28	5047	97313	38255	230492
2011-03-01 04:58:44	5074	114355	38255	230492
2011-03-01 04:59:47	5075	114355	38255	230492
2011-03-01 10:53:19	5175	30282	10508	88924
2011-03-01 21:06:42	5242	113579	38355	230486
2011-03-02 02:06:18	5291	114355	38228	230448
2011-03-02 02:07:21	5292	114355	38228	230440
2011-03-02 02:08:12	5294	30479	38228	230448
2011-03-02 02:09:10	5295	30479	38228	230440
2011-03-02 19:37:08	5618	32937	8750	79000
2011-03-02 20:49:59	5633	32933	8750	79000
2011-03-02 21:08:23	5637	32937	8750	79000
2011-03-03 23:54:26	5945	112803	38327	230674
2011-03-06 17:05:32	6423	114355	38160	230315
2011-03-07 00:14:25	6457	122687	46458	266771
2011-03-07 00:14:49	6458	122687	46458	266771
2011-03-07 00:15:06	6459	122687	46458	266771
2011-03-07 00:15:34	6460	122687	46458	266771
2011-03-07 02:24:52	6469	113175	38160	230315
2011-03-07 10:45:06	6505	122687	46452	266760
2011-03-07 10:46:59	6506	122687	46452	266760
2011-03-07 10:50:45	6507	122687	46452	266760
2011-03-07 11:03:48	6508	122687	46452	266760
