time	issueID	userID
2011-03-17 22:12:39	103545	43434
2011-03-17 22:44:07	22986	34301
2011-03-17 23:26:30	65138	112604
2011-03-18 00:35:15	118743	95341
2011-03-18 00:39:17	142524	114355
2011-03-18 00:42:33	118561	95341
2011-03-18 00:50:13	118668	95341
2011-03-18 00:51:44	118686	95341
2011-03-18 00:52:39	142524	114355
2011-03-18 00:57:54	118661	95341
2011-03-18 00:59:11	142524	114355
2011-03-18 01:06:34	65134	112604
2011-03-18 01:57:20	81337	180029
2011-03-18 02:52:22	65169	112780
2011-03-18 03:19:21	118742	8646
2011-03-18 03:24:30	118664	8646
2011-03-18 03:30:36	103542	108567
2011-03-18 03:35:28	118636	8646
2011-03-18 03:56:04	118664	8646
2011-03-18 03:57:17	149604	8646
2011-03-18 04:09:14	4792	1201
2011-03-18 04:14:22	51260	78066
2011-03-18 04:14:36	118722	209435
2011-03-18 04:15:21	148641	18654
2011-03-18 04:23:22	97069	186040
2011-03-18 04:47:11	37037	10944
2011-03-18 04:55:58	65128	114355
2011-03-18 05:35:30	111627	7566
2011-03-18 06:00:34	103539	43434
2011-03-18 06:01:35	44147	60939
2011-03-18 06:04:25	103535	43434
2011-03-18 06:10:40	64669	135842
2011-03-18 07:11:23	148638	18654
2011-03-18 07:33:59	99709	31607
2011-03-18 07:58:01	4783	1207
2011-03-18 07:58:37	4780	1207
2011-03-18 09:46:14	118623	18654
2011-03-18 09:50:57	64693	135842
2011-03-18 10:36:49	52678	92299
2011-03-18 10:54:04	148635	18530
2011-03-18 12:02:49	118620	67069
2011-03-18 12:37:49	118578	175227
2011-03-18 13:28:55	118621	18654
2011-03-18 13:29:24	118708	18654
2011-03-18 13:45:51	33091	59805
2011-03-18 15:22:28	148710	18654
2011-03-18 15:26:23	99709	31607
2011-03-18 16:54:41	65447	112604
2011-03-18 17:02:44	142522	112604
2011-03-18 18:02:44	65141	36827
2011-03-18 18:49:42	44135	60939
2011-03-18 19:08:25	44142	60939
2011-03-18 19:15:37	41373	23736
2011-03-18 19:44:10	142519	147821
2011-03-18 20:09:04	68775	3952
2011-03-18 20:53:40	65117	112604
2011-03-18 20:54:49	65102	112604
2011-03-18 21:00:28	103532	43434
2011-03-18 21:02:49	65123	112604
2011-03-18 21:15:09	65214	112604
2011-03-18 21:42:16	22982	34301
2011-03-18 21:46:19	22977	34301
2011-03-18 22:54:36	33879	10133
2011-03-18 23:12:36	64664	135842
2011-03-19 00:31:02	118572	18654
2011-03-19 00:34:01	148667	3367
2011-03-19 00:45:52	118571	18654
2011-03-19 00:46:18	118570	18654
2011-03-19 01:01:33	118568	18654
2011-03-19 01:30:33	65087	112604
2011-03-19 01:32:50	65085	112604
2011-03-19 01:32:50	65090	112604
2011-03-19 02:33:24	118566	18654
2011-03-19 02:33:37	118564	18654
2011-03-19 02:35:11	118563	18654
2011-03-19 02:59:05	111622	7566
2011-03-19 03:30:55	148643	18654
2011-03-19 03:36:09	65082	112604
2011-03-19 03:48:04	65104	113175
2011-03-19 04:20:36	22970	34468
2011-03-19 04:21:43	65070	112604
2011-03-19 04:45:13	44132	60939
2011-03-19 05:58:54	65077	112604
2011-03-19 05:58:54	65064	112604
2011-03-19 05:58:54	65066	112604
2011-03-19 05:58:55	65062	112604
2011-03-19 06:07:41	65079	112604
2011-03-19 07:06:41	118560	18654
2011-03-19 07:06:51	118562	18654
2011-03-19 08:24:34	44097	60939
2011-03-19 10:11:07	22940	34593
2011-03-19 10:41:18	107734	172024
2011-03-19 10:56:10	37036	81254
2011-03-19 11:52:42	118552	18654
2011-03-19 13:02:19	148667	3367
2011-03-19 15:09:19	21083	15
2011-03-19 15:18:25	1671	15
2011-03-19 18:05:08	42229	23736
2011-03-19 18:07:46	103529	43434
2011-03-19 18:14:16	41323	23736
2011-03-19 18:31:55	15994	12716
2011-03-19 18:35:15	103525	43434
2011-03-19 21:24:22	142511	21235
2011-03-19 21:29:36	65053	112604
2011-03-19 21:29:36	65054	112604
2011-03-19 21:53:54	65030	112604
2011-03-19 21:53:54	65032	112604
2011-03-19 21:57:25	22973	34301
2011-03-19 22:06:31	22953	34301
2011-03-19 22:47:40	22992	34301
2011-03-19 22:59:43	65029	112604
2011-03-19 23:05:43	97065	31570
2011-03-20 01:29:27	23078	34301
2011-03-20 01:36:55	118550	18654
2011-03-20 03:01:40	118547	18654
2011-03-20 03:48:58	37161	95422
2011-03-20 04:07:01	118545	18654
2011-03-20 04:24:37	22970	34301
2011-03-20 04:25:37	23257	34301
2011-03-20 04:42:42	148637	18654
2011-03-20 04:43:15	44079	60939
2011-03-20 04:44:55	64659	135842
2011-03-20 05:09:47	57058	136755
2011-03-20 05:30:57	148630	18654
2011-03-20 05:31:56	118543	18654
2011-03-20 05:40:28	119298	18654
2011-03-20 06:57:35	65022	112803
2011-03-20 06:59:34	103523	43434
2011-03-20 06:59:51	74386	36737
2011-03-20 07:06:43	148660	18654
2011-03-20 07:18:10	148628	18654
2011-03-20 07:20:49	148664	18654
2011-03-20 07:24:45	41335	30282
2011-03-20 07:30:51	148684	18654
2011-03-20 07:31:07	148670	18654
2011-03-20 07:45:20	148692	18654
2011-03-20 08:12:35	103519	43434
2011-03-20 09:07:12	99703	43434
2011-03-20 09:33:52	118574	18654
2011-03-20 09:33:55	118541	18654
2011-03-20 09:47:19	22940	34301
2011-03-20 10:01:03	22957	34480
2011-03-20 11:00:04	27970	9537
2011-03-20 11:12:53	23021	34301
2011-03-20 12:19:26	81325	106691
2011-03-20 13:07:54	118544	181011
2011-03-20 13:47:48	74394	36737
2011-03-20 13:47:48	76310	36737
2011-03-20 13:47:48	75433	36737
2011-03-20 13:47:48	74730	36737
2011-03-20 13:47:48	56740	36737
2011-03-20 16:11:59	24069	55755
2011-03-20 16:16:20	24067	55755
2011-03-20 16:19:03	24064	55755
2011-03-20 16:23:59	24061	55755
2011-03-20 16:27:38	24054	55755
2011-03-20 16:33:01	26607	55755
2011-03-20 16:37:18	33089	59805
2011-03-20 16:53:32	52662	127131
2011-03-20 17:04:41	26608	55755
2011-03-20 17:45:42	103514	43434
2011-03-20 17:47:05	103517	43434
2011-03-20 19:44:40	22937	34480
2011-03-20 23:36:31	65003	147610
2011-03-20 23:44:39	47119	60139
2011-03-20 23:46:37	47035	60139
2011-03-20 23:48:56	46902	60139
2011-03-20 23:49:40	46879	60139
2011-03-20 23:50:12	46861	60139
2011-03-20 23:52:16	46237	60139
2011-03-20 23:55:33	45715	60139
2011-03-20 23:56:08	45692	60139
2011-03-20 23:56:54	45515	60139
2011-03-21 00:25:57	44989	60139
2011-03-21 00:26:40	44985	60139
2011-03-21 00:27:12	44650	60139
2011-03-21 00:30:15	44646	60139
2011-03-21 00:31:10	44177	60139
2011-03-21 00:54:03	118527	99051
2011-03-21 00:54:20	118529	99051
2011-03-21 00:58:37	47009	60139
2011-03-21 01:42:57	56300	135842
2011-03-21 02:04:16	118520	18654
2011-03-21 02:04:47	118521	18654
2011-03-21 02:05:28	118524	18654
2011-03-21 02:07:02	118534	18654
2011-03-21 02:31:29	118618	18654
2011-03-21 02:52:42	22929	34593
2011-03-21 03:14:44	64654	135842
2011-03-21 03:42:38	118518	18654
2011-03-21 03:42:58	118519	18654
2011-03-21 03:43:12	148642	136768
2011-03-21 03:58:04	97063	31570
2011-03-21 04:22:46	148668	3367
2011-03-21 05:36:17	118513	18654
2011-03-21 06:09:38	74540	36737
2011-03-21 06:10:48	16676	11258
2011-03-21 06:23:55	118510	18654
2011-03-21 06:35:16	74366	36737
2011-03-21 06:35:36	56709	36737
2011-03-21 06:42:02	118514	18654
2011-03-21 06:43:07	44060	60939
2011-03-21 08:12:18	22929	34593
2011-03-21 09:09:46	118499	68033
2011-03-21 09:47:02	4769	1449
2011-03-21 09:47:11	118653	18654
2011-03-21 09:47:43	56717	36737
2011-03-21 09:48:11	148624	18654
2011-03-21 09:52:29	56747	36737
2011-03-21 09:53:55	74388	36737
2011-03-21 09:53:55	74685	36737
2011-03-21 09:53:55	75537	36737
2011-03-21 09:59:43	4778	1207
2011-03-21 10:23:11	148633	18654
2011-03-21 10:40:56	148918	18654
2011-03-21 10:44:39	119466	18654
2011-03-21 10:56:50	120965	18654
2011-03-21 11:06:48	120963	18654
2011-03-21 11:14:07	56704	36737
2011-03-21 12:34:46	148658	220307
2011-03-21 12:42:14	118508	18654
2011-03-21 12:44:37	148626	18654
2011-03-21 12:49:09	118837	18654
2011-03-21 12:56:35	149034	18654
2011-03-21 13:05:00	148632	18654
2011-03-21 13:08:32	118658	18654
2011-03-21 13:55:38	148868	18654
2011-03-21 14:01:36	118497	18654
2011-03-21 14:14:18	51766	78066
2011-03-21 14:16:25	52126	78066
2011-03-21 14:16:40	148827	18654
2011-03-21 14:16:56	51919	78066
2011-03-21 14:17:31	51349	78066
2011-03-21 14:19:24	148991	18654
2011-03-21 15:15:25	148625	177781
2011-03-21 15:22:42	148719	18654
2011-03-21 15:29:41	148631	18654
2011-03-21 18:10:15	65007	112604
2011-03-21 18:10:16	64997	112604
2011-03-21 18:10:16	64994	112604
2011-03-21 18:28:01	65018	113175
2011-03-21 19:17:19	41204	30282
2011-03-21 20:31:03	65866	112604
2011-03-21 22:50:18	119083	40586
2011-03-22 00:06:33	22957	34480
2011-03-22 00:18:19	44051	60939
2011-03-22 00:39:13	41212	30282
2011-03-22 00:39:13	41739	30282
2011-03-22 01:32:01	118494	18654
2011-03-22 01:44:41	64951	116331
2011-03-22 01:58:06	65061	112604
2011-03-22 01:58:07	64983	112604
2011-03-22 01:58:07	64989	112604
2011-03-22 01:58:08	64948	112604
2011-03-22 01:58:08	64971	112604
2011-03-22 02:10:29	44045	60939
2011-03-22 02:34:09	22949	34301
2011-03-22 02:44:15	142495	113175
2011-03-22 02:50:15	103512	43434
2011-03-22 03:07:07	148654	209534
2011-03-22 03:09:23	52673	92299
2011-03-22 03:13:13	119477	192524
2011-03-22 03:23:42	148618	18654
2011-03-22 03:31:28	99704	31607
2011-03-22 04:07:39	74342	36737
2011-03-22 04:10:08	22914	34301
2011-03-22 04:15:11	16039	3895
2011-03-22 05:32:27	37025	78066
2011-03-22 06:14:10	118486	45396
2011-03-22 06:58:04	13920	14310
2011-03-22 07:13:16	148851	18654
2011-03-22 07:15:49	4802	1200
2011-03-22 07:27:34	41199	30282
2011-03-22 07:50:43	25035	54380
2011-03-22 07:57:26	118586	194536
2011-03-22 08:12:46	118480	18654
2011-03-22 08:20:53	118483	18654
2011-03-22 08:39:47	120036	18654
2011-03-22 09:29:53	44040	60939
2011-03-22 09:53:15	46233	60939
2011-03-22 10:05:08	33087	59805
2011-03-22 10:30:59	148616	18654
2011-03-22 11:05:00	118740	194536
2011-03-22 12:00:35	33085	59805
2011-03-22 13:10:57	148611	216726
2011-03-22 13:16:35	33086	59805
2011-03-22 14:03:56	121342	18654
2011-03-22 14:05:37	118474	18654
2011-03-22 14:41:09	121301	18654
2011-03-22 14:43:30	121264	18654
2011-03-22 14:57:17	148990	18654
2011-03-22 14:58:27	120489	18654
2011-03-22 15:00:51	120940	18654
2011-03-22 15:05:13	74431	149360
2011-03-22 15:07:42	120634	18654
2011-03-22 15:11:18	120138	18654
2011-03-22 15:21:24	148911	18654
2011-03-22 15:22:26	120114	18654
2011-03-22 15:31:14	148901	18654
2011-03-22 15:31:59	148966	18654
2011-03-22 15:33:52	148778	18654
2011-03-22 15:36:07	148729	18654
2011-03-22 15:37:55	148717	18654
2011-03-22 15:47:18	148708	18654
2011-03-22 15:47:53	118477	18654
2011-03-22 16:49:18	99698	43434
2011-03-22 18:56:13	15901	12677
2011-03-22 19:11:14	148612	38680
2011-03-22 20:07:07	64940	112604
2011-03-22 20:07:09	142493	112604
2011-03-22 20:12:27	64929	112604
2011-03-22 20:54:57	51135	82732
2011-03-22 21:04:48	65116	113579
2011-03-22 21:14:49	44028	60939
2011-03-22 21:30:25	44033	60939
2011-03-22 22:04:08	103509	43434
2011-03-22 22:08:22	22926	34301
2011-03-22 22:08:41	22910	34301
2011-03-22 22:13:49	15717	34301
2011-03-22 22:21:29	22896	34301
2011-03-22 23:45:31	22917	34301
2011-03-22 23:51:08	51125	81254
2011-03-22 23:52:51	37033	81254
2011-03-23 00:04:03	118473	18654
2011-03-23 00:05:54	148609	18654
2011-03-23 00:06:03	118471	18654
2011-03-23 00:06:31	118470	18654
2011-03-23 00:26:00	148945	18654
2011-03-23 00:30:24	148769	18654
2011-03-23 00:35:47	148613	18654
2011-03-23 00:44:48	148610	18654
2011-03-23 00:46:32	148619	18654
2011-03-23 00:53:35	118479	18654
2011-03-23 00:53:41	148617	18654
2011-03-23 01:14:49	65500	112604
2011-03-23 01:14:51	65000	112604
2011-03-23 01:14:53	64918	112604
2011-03-23 01:24:25	149564	18654
2011-03-23 01:27:26	142485	112604
2011-03-23 01:54:02	65764	112604
2011-03-23 02:11:41	148612	38680
2011-03-23 02:48:52	23037	34301
2011-03-23 02:57:37	149182	18654
2011-03-23 02:57:45	150552	18654
2011-03-23 02:58:48	118466	18654
2011-03-23 03:05:03	118498	18654
2011-03-23 03:11:27	100135	31607
2011-03-23 03:16:02	120064	18654
2011-03-23 03:18:35	148656	18654
2011-03-23 03:29:27	41188	106125
2011-03-23 03:38:10	120088	18654
2011-03-23 03:38:38	149726	18654
2011-03-23 03:43:44	120243	18654
2011-03-23 04:00:33	148607	18654
2011-03-23 04:15:28	22906	34593
2011-03-23 04:17:43	149102	18654
2011-03-23 04:40:42	12883	11258
2011-03-23 04:40:45	119907	18654
2011-03-23 04:45:12	118466	18654
2011-03-23 04:46:24	64896	112604
2011-03-23 04:47:54	118467	18654
2011-03-23 04:48:22	64898	112604
2011-03-23 04:48:27	64920	112604
2011-03-23 04:48:36	12886	11258
2011-03-23 04:57:56	64925	112604
2011-03-23 05:13:29	148606	175246
2011-03-23 05:19:58	148605	18654
2011-03-23 05:26:42	64885	112604
2011-03-23 06:13:38	15905	12743
2011-03-23 06:17:28	119673	18654
2011-03-23 06:46:04	56700	36737
2011-03-23 06:49:08	142506	112604
2011-03-23 07:09:33	81302	110290
2011-03-23 07:54:01	56686	36737
2011-03-23 08:08:30	12879	11258
2011-03-23 08:08:49	12890	11258
2011-03-23 08:26:52	12893	11258
2011-03-23 08:27:26	16651	11258
2011-03-23 08:28:06	103504	43434
2011-03-23 09:02:48	118462	208013
2011-03-23 09:07:09	5225	12985
2011-03-23 09:46:46	72620	1269
2011-03-23 09:46:46	72383	1269
2011-03-23 09:46:46	73035	1269
2011-03-23 09:51:13	118457	18654
2011-03-23 10:17:07	111621	7566
2011-03-23 10:17:33	148601	18654
2011-03-23 10:20:17	111618	7566
2011-03-23 10:24:48	148682	18654
2011-03-23 10:25:19	116625	207804
2011-03-23 11:24:39	81379	106691
2011-03-23 11:25:03	81332	106691
2011-03-23 12:10:44	15897	12869
2011-03-23 13:33:07	81314	113608
2011-03-23 15:54:28	148600	18654
2011-03-23 16:03:06	103501	97325
2011-03-23 16:08:26	64869	112604
2011-03-23 16:09:14	64879	112604
2011-03-23 16:14:14	68736	25715
2011-03-23 16:22:23	148606	18654
2011-03-23 16:25:11	64864	112604
2011-03-23 18:30:18	148604	64844
2011-03-23 18:48:17	119483	209754
2011-03-23 23:41:09	12872	11258
2011-03-23 23:57:32	22852	34301
2011-03-24 01:37:56	44020	60939
2011-03-24 02:13:22	118453	18654
2011-03-24 02:13:44	118454	18654
2011-03-24 02:14:10	118455	18654
2011-03-24 02:34:03	51022	76841
2011-03-24 02:42:57	52647	126930
2011-03-24 02:56:18	12868	11258
2011-03-24 03:01:42	148603	26275
2011-03-24 03:22:14	103494	43434
2011-03-24 03:23:08	52655	126930
2011-03-24 03:32:50	4759	1201
2011-03-24 06:07:45	51012	97344
2011-03-24 06:25:11	148597	18654
2011-03-24 06:31:53	65072	113579
2011-03-24 06:35:53	65364	113579
2011-03-24 06:38:06	65953	113579
2011-03-24 06:38:08	148593	18654
2011-03-24 06:40:32	65918	113579
2011-03-24 06:41:01	148594	18654
2011-03-24 06:54:18	148598	237261
2011-03-24 07:04:46	64789	112604
2011-03-24 07:05:13	65822	112604
2011-03-24 07:09:57	64902	112604
2011-03-24 07:30:23	118452	18654
2011-03-24 08:19:40	15711	34301
2011-03-24 08:20:48	22860	34301
2011-03-24 08:24:58	22866	34301
2011-03-24 08:29:08	4784	1201
2011-03-24 08:29:09	4775	1201
2011-03-24 08:35:42	22870	34301
2011-03-24 08:40:16	22923	34301
2011-03-24 09:15:33	22919	34301
2011-03-24 09:25:26	22875	34593
2011-03-24 09:48:32	22875	34301
2011-03-24 10:14:49	148592	18654
2011-03-24 10:52:00	22929	34301
2011-03-24 19:01:17	64783	112604
2011-03-24 19:01:17	64786	112604
2011-03-24 20:07:24	15672	23736
2011-03-24 20:14:12	117731	45364
2011-03-24 22:20:56	50990	81457
2011-03-25 00:27:52	118448	18654
2011-03-25 00:27:55	148590	18654
2011-03-25 01:17:45	13901	14310
2011-03-25 02:21:45	117730	192524
2011-03-25 03:21:07	22823	34471
2011-03-25 03:50:21	115180	172232
2011-03-25 04:01:47	13901	34192
2011-03-25 04:09:56	118447	18654
2011-03-25 04:10:34	119283	18654
2011-03-25 05:16:58	103558	43434
2011-03-25 05:17:07	87661	43434
2011-03-25 05:26:54	118445	18654
2011-03-25 07:13:37	51491	78066
2011-03-25 07:25:47	118443	18654
2011-03-25 07:25:47	37015	78066
2011-03-25 07:57:02	111604	7566
2011-03-25 08:47:02	12855	11258
2011-03-25 08:47:42	12859	11258
2011-03-25 08:48:10	12861	11258
2011-03-25 09:14:02	50984	78066
2011-03-25 10:13:22	16051	12743
2011-03-25 13:10:07	118438	18654
2011-03-25 15:23:25	109719	194536
2011-03-25 15:58:49	64763	112604
2011-03-25 15:58:49	64770	112604
2011-03-25 15:58:49	64755	112604
