time	senderID	receiverID
2007-10-20 13:24:19	27603	172799
2008-01-08 03:54:22	52586	172799
2008-01-13 15:57:18	169714	172799
2008-01-13 15:57:18	172799	169714
2008-01-13 20:19:47	44226	172799
2008-01-13 20:19:47	172799	44226
2008-01-14 14:33:35	72858	172799
2008-01-14 14:33:35	169714	72858
2008-01-14 14:33:35	52586	72858
2008-01-14 14:33:35	172799	72858
2008-01-15 14:47:24	20430	172799
2008-01-15 14:47:24	20430	72858
2008-01-22 19:14:11	28799	172799
2008-01-22 19:14:11	28799	209202
2008-01-22 19:14:11	11026	28799
2008-01-22 19:14:11	172799	28799
2008-01-22 19:14:11	72858	28799
2008-01-22 19:14:11	20430	28799
2008-01-22 19:14:11	30159	28799
2008-01-22 19:14:11	28799	44226
2008-01-22 19:14:11	28799	72858
2008-01-22 19:14:11	28799	11026
2008-01-22 19:14:11	52586	28799
2008-01-24 14:40:22	32782	209202
2008-01-24 14:40:22	32782	44226
2008-01-24 14:40:22	32782	172799
2008-01-24 14:44:30	16074	172799
2008-01-25 12:28:12	32782	175360
2008-01-25 12:28:12	175360	172799
2008-01-25 12:28:12	175360	32782
2008-01-25 12:28:12	28799	175360
2008-01-25 12:28:12	172799	175360
2008-01-25 12:28:12	52586	175360
2008-01-25 12:28:12	175360	28799
2008-01-26 08:16:29	45481	179939
2008-01-26 08:33:10	186480	72858
2008-01-26 08:33:10	186480	172799
2008-01-28 03:19:28	16422	72858
2008-01-28 03:19:28	16422	172799
2008-01-29 09:44:14	74886	28799
2008-01-29 09:44:14	30159	74886
2008-01-29 09:44:14	28799	74886
2008-01-29 17:59:27	164230	179417
2008-01-29 17:59:27	164230	172799
2008-01-30 09:09:30	28799	178284
2008-01-30 09:13:36	178284	173174
2008-01-30 09:13:36	173174	178284
2008-01-30 09:13:36	173174	172799
2008-01-30 09:15:32	178284	82986
2008-01-30 09:15:32	11026	82986
2008-01-30 09:15:32	28799	82986
2008-01-30 09:15:32	20430	82986
2008-01-30 09:48:24	172799	153028
2008-01-30 09:48:24	153028	172799
2008-01-30 16:19:57	33525	30159
2008-01-30 16:19:57	33525	153864
2008-01-30 16:19:57	28799	33525
2008-01-30 16:19:57	33525	74886
2008-01-30 16:19:57	153864	33525
2008-01-30 16:31:06	30159	194669
2008-01-30 16:31:06	194669	30159
2008-01-30 16:31:06	33525	194669
2008-01-30 16:31:06	28799	194669
2008-01-30 16:31:06	194669	28799
2008-01-31 05:00:58	172799	25468
2008-01-31 05:48:45	172879	72858
2008-01-31 05:48:45	172879	175360
2008-01-31 05:53:29	19415	194669
2008-01-31 05:53:29	19415	172799
2008-01-31 05:53:29	19415	72858
2008-01-31 05:53:29	19415	30159
2008-01-31 09:19:18	175360	169860
2008-01-31 09:19:18	30159	169860
2008-01-31 09:19:18	28799	169860
2008-01-31 09:19:18	32782	169860
2008-01-31 09:19:18	172799	169860
2008-01-31 09:19:18	194669	169860
2008-01-31 09:19:18	20430	169860
2008-02-01 03:03:51	194669	169682
2008-02-01 08:56:31	194669	23929
2008-02-01 08:56:31	23929	72858
2008-02-01 08:56:31	23929	169860
2008-02-01 14:12:42	175360	181085
2008-02-02 11:00:36	177364	82986
2008-02-02 11:00:36	28799	177364
2008-02-02 11:00:36	172799	177364
2008-02-02 21:29:45	182700	23929
2008-02-02 21:29:45	182700	169860
2008-02-02 21:29:45	182700	172799
2008-02-02 21:29:45	182700	72858
2008-02-03 05:03:54	13759	172799
2008-02-03 08:00:03	199095	172799
2008-02-03 08:00:03	172799	199095
2008-02-03 08:00:03	199095	28799
2008-02-04 01:43:43	201278	72858
2008-02-04 06:40:13	19415	180221
2008-02-04 06:40:13	194669	180221
2008-02-04 08:05:54	172799	30535
2008-02-04 08:05:54	16422	30535
2008-02-04 08:05:54	52586	30535
2008-02-04 08:05:54	178284	30535
2008-02-04 08:05:54	30535	175360
2008-02-04 08:05:54	19415	30535
2008-02-04 08:05:54	30535	172799
2008-02-04 08:05:54	20430	30535
2008-02-04 08:05:54	30535	72858
2008-02-04 08:05:54	30535	28799
2008-02-04 08:05:54	175360	30535
2008-02-04 08:05:54	28799	30535
2008-02-05 10:17:41	172799	64530
2008-02-06 01:03:25	182700	171855
2008-02-06 01:03:25	172799	171855
2008-02-06 09:18:56	170758	72858
2008-02-06 09:18:56	178284	170758
2008-02-07 11:44:36	199095	171690
2008-02-07 11:44:36	32782	171690
2008-02-07 11:44:36	172799	171690
