time	commentID	userID	commitID	line	position
2008-04-11 17:36:30	118902	32894	544212	-1	-1
2008-04-11 20:27:28	118903	178284	544212	-1	-1
2008-04-11 20:27:42	118906	178284	544212	-1	-1
2008-04-11 23:08:16	118881	17462	544211	80	43
2008-04-11 23:49:52	118882	19965	544211	-1	-1
2008-04-12 00:02:07	118883	72858	544211	-1	-1
2008-04-12 04:16:26	118884	159958	544211	-1	-1
2008-04-12 04:34:09	118885	82986	544211	-1	-1
2008-04-12 05:42:52	118905	32894	544212	-1	-1
2008-04-12 08:19:00	118870	76264	544205	-1	-1
2008-04-12 09:20:58	118871	507698	544202	-1	-1
2008-04-12 20:30:45	118872	32894	544206	45	5
2008-04-12 22:43:07	118886	197466	544211	-1	-1
2008-04-13 00:54:27	118875	170305	544206	-1	-1
2008-04-13 02:00:58	118873	169574	544206	-1	-1
2008-04-13 21:54:52	118887	110401	544211	-1	-1
2008-04-14 00:24:02	118888	34275	544211	-1	-1
2008-04-14 00:36:06	118891	19965	544211	-1	-1
2008-04-14 02:19:11	118914	174930	544218	-1	-1
2008-04-14 03:44:52	118892	18662	544211	-1	-1
2008-04-14 04:13:40	118889	19965	544211	-1	-1
2008-04-14 07:53:39	118893	19728	544211	-1	-1
2008-04-14 10:00:15	118890	19965	544211	-1	-1
2008-04-14 21:55:49	118894	172879	544211	-1	-1
2008-04-14 22:39:53	118895	16640	544211	-1	-1
2008-04-15 00:25:11	118896	19965	544211	-1	-1
2008-04-15 01:15:33	118897	22511	544211	-1	-1
2008-04-15 01:16:15	118900	22511	544211	-1	-1
2008-04-15 01:29:52	118898	72858	544211	-1	-1
2008-04-15 01:39:50	118899	34275	544211	-1	-1
2008-04-15 03:40:49	118901	19965	544211	-1	-1
2008-04-16 04:29:28	118876	30535	544206	-1	-1
2008-04-16 04:47:15	118874	170758	544206	-1	-1
2008-04-16 04:47:51	118877	170758	544206	-1	-1
2008-04-16 05:28:26	118878	152716	544206	-1	-1
2008-04-17 20:57:33	118904	19965	544211	-1	-1
2008-04-19 02:38:12	118868	45601	544202	113	34
2008-04-19 11:08:46	118865	51016	544179	-1	-1
2008-04-19 12:47:49	118867	30535	544179	-1	-1
2008-04-19 13:24:37	118909	180376	544216	266	35
2008-04-20 09:24:35	118866	376780	544199	-1	-1
2008-04-24 12:40:45	118858	308934	544143	-1	-1
2008-04-24 13:06:42	118857	30535	544143	-1	-1
2008-04-24 15:41:11	118859	19965	544143	-1	-1
2008-04-24 20:18:54	118861	21959	544143	-1	-1
2008-04-24 21:58:44	118860	172886	544143	-1	-1
2008-04-24 22:12:01	118862	30535	544143	-1	-1
2008-04-24 23:59:12	118863	194676	544143	-1	-1
2008-04-27 13:42:36	118854	113592	544128	-1	-1
2008-04-28 01:14:34	118852	30535	544129	-1	-1
2008-04-28 07:13:59	118841	69452	544126	-1	-1
2008-04-28 08:19:28	118839	435630	544125	-1	-1
2008-04-28 08:21:52	118843	186480	544126	-1	-1
2008-04-28 10:29:30	118840	30535	544125	-1	-1
2008-04-28 12:01:58	118842	170387	544126	-1	-1
2008-04-28 14:21:53	118844	180058	544126	-1	-1
2008-04-28 21:05:37	118837	201291	544122	-1	-1
2008-04-28 22:28:41	118845	175556	544126	-1	-1
2008-04-28 23:44:16	118838	23301	544122	-1	-1
2008-04-29 22:19:15	118836	30535	544117	-1	-1
2008-04-29 23:00:07	118846	69452	544126	-1	-1
2008-04-30 01:15:37	118847	30535	544126	-1	-1
2008-04-30 02:50:37	118835	69820	544117	-1	-1
2008-05-01 04:05:19	118848	172799	544126	-1	-1
2008-05-01 04:20:48	118849	10336	544126	-1	-1
2008-05-01 04:52:55	118851	19728	544126	-1	-1
2008-05-01 22:55:02	118850	180058	544126	-1	-1
2008-05-05 03:17:02	118911	72442	544216	266	35
2008-05-05 03:47:06	118869	48763	544202	-1	-1
2008-05-05 09:10:30	118833	175243	544055	-1	-1
2008-05-06 20:03:22	118754	32894	544031	-1	-1
2008-05-06 21:23:50	118755	27578	544036	-1	-1
2008-05-06 22:16:34	118752	178284	544031	-1	-1
2008-05-08 17:53:59	118830	188532	544037	-1	-1
2008-05-08 19:07:58	118831	188532	544037	-1	-1
2008-05-08 20:16:55	118832	188532	544037	-1	-1
2008-05-10 18:09:26	118834	126836	544055	-1	-1
2008-05-12 06:55:42	118921	48763	544283	33	12
2008-05-12 18:04:39	118756	169860	544040	82	5
2008-05-13 01:28:03	118757	219304	544040	-1	-1
2008-05-13 02:07:57	118759	44355	544040	-1	-1
2008-05-13 02:09:07	118760	44355	544040	-1	-1
2008-05-13 15:57:54	118758	219304	544040	-1	-1
2008-05-14 02:12:46	118738	64530	543979	-1	-1
2008-05-14 09:14:02	118748	210637	544028	-1	-1
