time	pullRequestID	userID	repoID
2010-09-01 07:52:32	32135	136071	64176
2010-09-01 14:08:54	32132	10345	64176
2010-09-01 14:09:21	32131	10345	64176
2010-09-01 14:11:32	32127	10345	64176
2010-09-01 17:31:05	44960	57022	77319
2010-09-01 22:59:39	74469	172505	79163
2010-09-01 23:49:25	74468	172505	79163
2010-09-01 23:50:10	74471	105981	79163
2010-09-01 23:58:55	74466	172886	79163
2010-09-02 00:46:02	39846	150262	72032
2010-09-02 01:28:20	74474	172672	79163
2010-09-02 05:47:17	52170	17856	95385
2010-09-02 09:21:09	39228	149549	71786
2010-09-02 11:52:56	15125	59219	15974
2010-09-03 04:53:30	32125	10345	64176
2010-09-03 06:10:09	39226	26407	71786
2010-09-03 09:58:33	23167	19286	24292
2010-09-03 16:24:32	5475	16285	7242
2010-09-03 16:59:00	23164	19286	24292
2010-09-03 16:59:22	23165	19286	24292
2010-09-04 00:41:40	74458	172505	79163
2010-09-04 00:44:36	74459	125795	79163
2010-09-04 03:12:33	38526	112650	51671
2010-09-04 03:53:39	25660	104135	50618
2010-09-05 00:27:37	32122	10345	64176
2010-09-05 02:33:11	39229	149549	71786
2010-09-05 02:35:10	39225	149549	71786
2010-09-05 10:01:19	39227	149549	71786
2010-09-06 05:52:27	3093	14920	289
2010-09-06 05:54:42	3176	14920	289
2010-09-06 06:25:04	32113	10345	64176
2010-09-06 08:47:49	15973	423	17515
2010-09-06 12:53:42	3173	14920	289
2010-09-06 13:38:35	74453	202780	79163
2010-09-06 13:39:50	74455	54562	79163
2010-09-06 14:02:08	74448	144126	79163
2010-09-06 22:32:14	15120	31416	15974
2010-09-06 22:32:14	15122	42415	15974
2010-09-07 01:44:05	32117	135983	64176
2010-09-07 01:58:44	32114	10345	64176
2010-09-07 02:04:30	32110	10345	64176
2010-09-07 02:20:33	32108	10345	64176
2010-09-07 04:14:58	20787	95493	26388
2010-09-07 04:14:58	20793	95493	26388
2010-09-07 04:14:58	20797	95493	26388
2010-09-07 08:29:24	74444	189516	79163
2010-09-07 21:30:30	20800	95493	26388
2010-09-07 23:40:25	20784	81765	26388
2010-09-08 00:35:14	32106	10345	64176
2010-09-08 02:38:54	42540	131993	62502
2010-09-08 02:40:43	21695	78029	25875
2010-09-08 05:24:15	74443	21612	79163
2010-09-08 05:28:52	20782	95548	26388
2010-09-08 07:36:27	32097	135977	64176
2010-09-08 08:49:47	20795	92808	26388
2010-09-08 09:03:57	20780	81334	26388
2010-09-08 09:57:30	43831	159168	76945
2010-09-08 20:51:31	74451	144126	79163
2010-09-08 22:34:35	21690	16599	25875
2010-09-08 22:51:16	32091	135977	64176
2010-09-09 05:51:32	32101	135977	64176
2010-09-09 11:00:41	23153	76350	24292
2010-09-09 11:47:15	74439	126617	79163
2010-09-09 19:51:40	52167	176065	95385
2010-09-09 21:00:54	38525	112672	51671
2010-09-09 22:40:39	25658	104135	50618
2010-09-10 02:14:24	61617	172202	78852
2010-09-10 02:14:39	61616	172202	78852
2010-09-10 02:16:39	61619	5625	78852
2010-09-10 03:47:06	74435	28006	79163
2010-09-10 04:36:26	38523	11697	51671
2010-09-10 05:28:37	74434	205080	79163
2010-09-10 06:32:30	32080	10345	64176
2010-09-10 06:56:36	39845	3098	72032
